Wallet Address,Token Amount
H8tpLrHgR4hFLRccmZ1QuYyVNsheHuDJdcbSLxN9SoJZ,64500000
GZq4x7U2s8oUB1yyxw2yUpVDfNYQ5H67XTk4t8JVsJFv,500000000
Hpaa1uax1pfYUUSpSMv5Pv6QKFxFNYyhs8AYModQtcmf,625000000
7LmqMDMvDu7JidnFxpvRg5jsVqyG5CEQzeVKEoMHX65H,500000000
4BjZSMcDqPoqViHbzkv5UHhTMd21Txb26kJ8AbsCeg2V,98000000
D5x8yeDMeRGHmYbKtPVqtYEH4VMgm3nH1Vzz4CmhzGDc,100000000
4oRs8TCLCTY6YDfKG6yYXYzGDEAKTZL2PUCV3eJpNp8a,100000000
HhcCry9b7GFTeEDeviam1bai78Gu9NPg3fJ6MZurtr97,250000000
4mPqvjVqVyZ2meV8mKW12Nsw5U46GpVsLQe6vaQ5oPxp,26500000
GsRtg5ps8qtexqLBkWuq6WfS2Ekt6mFUb3Tzj6vrcjJX,250000000
GdwFGccVVNWZr9ckxtgMy8bcLWojrNBJZMvxeiyZM23V,350000000
3dayXDboEYDQQopaxJNreym1tJ9aHcLNtCobM3tGhBLg,250000000
5AHE82D3f6TRhmBcxd9jiFDtBSbSMFT25jwJ1U1X2Sgq,21266030.5
txyHiVV6d6AmFSgjvD1fj8q3uXVUSknDhXPseahYP4V,100000000
HkPJXax4VzeVbvxf3js9jSuy5dmnpmFfhtAkUxUmTw32,90969832.5
Z8yTTaoCak6KxnRUqhs3PXajd1884Eo7Tpk4hna6ZAU,99837365
6QVNJToUv6r9JfTBo6k5NPG8Q8pFpFMzSK5fXRTXLCp9,30245980.5
FCg4daNRT7dij9Uc2mRgqMhYx1NBQGhx9hgV18EgoSXG,200000
3Gp2UBajs9VjCs9hgoVif62dNJGUtfLm5YJyMXf3RRD9,300000
CSvhyPYoD7oCFa1YqpXXN81SnNKicatDzvdcPG3q7Cti,600000
C15Y93MjUvtwi4wtawHKVAiC5327UdvR3HRZfrMBAwSe,220276447
7veSwi419DUvSwA1RpcJdTqZSJcVMSpz97cEAbGumg9U,1000000000
GesLJrmdaxzNMBv1dW1EnoLwbX2iXE2B34uoKm6gwL9w,461515906
EGE514vxH6SBrim7KHBhib1kt5aYwCzFk3Yih2PiVRAE,500000000
64Uhvcp4BpDFCSfMYiGdcHK6Ni3jEpFfDMcBQTcreRXp,18500000
7hc2JFkixUjf1hujvbmHDAbCmRh4TtvBgZPB6wDV4ccz,40000000
Fs1w4EE1KYwktH17s1gzLCkAyqDMMPBYHwzVjS4vxdj8,499997500
FA2Ccz59JAzQ72rTEAbo9VDC2FNCUY8x61MW96sZon9h,53958500
5pDdnFHfDe5yycEUvjC2fJBAvDpRiDLLUpGH5qe1hT3b,95000000
A2M5GKQE7E89nksVU3TJwUV6B7JxanWZQxhjppHGm4aE,85500000
7avSwf3qUzyimQ58839MmHix7ZjUQ63cZZ2qdPCiH8t3,9500000
GaiSdMbXn9UweGEVmo73u6HqwVjfhQsRZQUkkmok1G3q,500000000
FGiUSSNn7nEWBUnmZ81s2zQ6XbqoLYkshabRWvDFv2rM,250000000
4ymz5rPAdvGfe8cTmAGnkRPt3rUof683fpREot1PZTQF,1250000000
4QPDHsCxccg385b7Y2mdbKKY7vwPYEFUK5iYLyLGPHua,260000000
DbrXuYwuPufKqi33e3Cdsjd93s3AwndSrdYYNYkS2jsm,250000000
CWFbkFbXymzBP7bgCdnbAk3uHsskZiQdEciYC3nA6dTP,450000000
Eu2wFZk8zKvGKGTES8oavYJThKbggDy5LCqfcfXAHb9S,300000000
C5VjXi2zSDEmCyLQro7Aeg61rLubFVMaZNf7giBJE2VC,300000000
EXPvMKPbezyE1kYWLuZ32wRAs4QcExPFfhUqR3HPFrgR,1000000000
9bssrNeo1SFEWEH8BRDCAAe1sj5xvSBqP2W3N5q7BmxC,500000000
3StQ7qTMeawh48WEUQ9gYH6uuTphRPThP4ukmRagDqp1,250000000
5JfRVReJr7YhY1dzwztnpnBghnYLV44zQ9otzARUxy5w,5000000000
AFi16vDu4oXRQB316XgQKKDHtDMJHHjJky31A23Ckem7,253777500
7PRJoGpSxwEvGJy6oSiHeNzJHPx96chQ72RS35vWDx68,750000000
BVsmq7bhUBPDkY8nZU22PT9YPe26aCGXPYht6QeCJ55D,1000000000
GW583At32jX1jhrjeu2i654DMQSixdwABF3dHXqGqVum,500000000
44EYiSy4PYym8j65AWY3MRfyd5LLKXCvp3FmAZ48supy,2300000000
GmXvfwdtTGjGpT5K3VKLRejdoZSCfx2zWJDhjLv2hihG,9170792500
5XoEhyVQB8qfACtotRcGSjQbdTuVeaiJcH3G6bra6vEk,8993987500
753iEybNydYQfZ83i5wzZSJemZkDgj5xT6C37RAvZWpY,500000000
3ohL2m2hyNyojf35C6LEBefumWdtjfBeUe4DHhkSRqzH,700000000
BJ5rFANW3L2DNCquCSMuojX8p86jHX7XxxFv9qsjT6Fw,250000000
C1ajbXttMkHQ6sKLytGiCPTsbQh4FTQ46dwCvtrafPq,255000000
4HrW4j84DjQ4JHAfckfnDbe2rdeM2MhYgXVRVGmJ8ENJ,5000000000
A2uufpaZtyBFFL1BtfVychv2133Cv6wDu4n6Yhr88MH4,863364345
99EFsoVC5Pizgzg17kRMgz1TGu9nCMqjoyezCj33TCTy,573523480
A7N8FujptYg25TrjSU2SLEiQwanxkD19tPUJBDwNhqL9,250000000
9Z7WM6npLo8TuY4Y9GvPfCR8KR4UAdj2mKi1PV42Mgs2,1000000000
9JTSi9xDWzT8Jg5gia26WfdmmLVemGF9CDdyjUkr6KTe,1000000000
8CKAdfWT2SLWjYACuES5QX56ytjqWzqzmHqiEhRUeLGa,750000000
9VTSqReZatGvrPRPTUFwaF661ccdG2NWAeqHjCGXW48x,50000000
9gPS6wavBahPfHdYiCrKd8xAA3zuMVSg38WBjs6wP1AA,200000000
sHbUtgB6m5NafoH6kWCmn7WzxdNgQy1zfuh7e5Sr79T,500000000
zh542M8FhHvzLK3dtXWUMBdHBbGEU7gAEnFvJiYaLmM,2500000000
2ATeC5rTrrXveFUpNK3TEEp1rHeidPpycHSFoJgLnnR8,500000000
2rqoebzJNUvmLTrSNZrkeNbN6YUUae5796YvWMcRWqSu,1000000000
EFPYUwxW6oJWqrX7WS9WRU4JCk6uerjvXvFGZSWMvN1T,500000000
EFpMxLvWsPNwWQ1Z4PjYUwrP2dZGmhj97BDMsc5LNbKB,500000000
